                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.2037,                0.69623,                 1.0957,                      0,                      0,                      0,                      0,                 4.0007,                 8.5892,                 2.6566,             0.00035469,             0.00035469,             0.00035469
                     90,                 1.1943,                0.68939,                 1.0922,                      0,                      0,                      0,                      0,                 3.3559,                 8.8587,                 2.7393,             0.00034919,             0.00034919,             0.00034919
                     91,                 1.2003,                 0.6949,                 1.0857,                      0,                      0,                      0,                      0,                 2.4901,                  7.125,                 2.2097,              0.0003437,              0.0003437,              0.0003437
                     92,                  1.187,                0.68462,                 1.0784,                      0,                      0,                      0,                      0,                 3.4995,                  8.328,                   2.68,              0.0003382,              0.0003382,              0.0003382
                     93,                 1.1958,                 0.6975,                 1.0833,                      0,                      0,                      0,                      0,                 3.6525,                 7.5631,                  2.568,              0.0003327,              0.0003327,              0.0003327
                     94,                 1.1761,                0.67473,                 1.0821,                      0,                      0,                      0,                      0,                 4.4949,                 12.124,                 3.0106,              0.0003272,              0.0003272,              0.0003272
                     95,                 1.1569,                0.66474,                 1.0788,                      0,                      0,                      0,                      0,                 4.7659,                 8.0344,                  2.998,              0.0003217,              0.0003217,              0.0003217
                     96,                 1.1627,                0.66807,                 1.0681,                      0,                      0,                      0,                      0,                 4.6583,                 11.751,                 3.0693,             0.00031621,             0.00031621,             0.00031621
                     97,                 1.1576,                0.66821,                 1.0742,                      0,                      0,                      0,                      0,                 3.9503,                 7.2344,                 2.9802,             0.00031071,             0.00031071,             0.00031071
                     98,                 1.1422,                0.72623,                 1.0677,                      0,                      0,                      0,                      0,                 3.9388,                 7.5029,                  2.993,             0.00030521,             0.00030521,             0.00030521
                     99,                 1.1542,                0.65604,                 1.0691,                      0,                      0,                      0,                      0,                  4.045,                 8.6142,                 2.8913,             0.00029971,             0.00029971,             0.00029971
                    100,                 1.1529,                0.67353,                 1.0676,                      0,                      0,                      0,                      0,                  4.177,                 6.9323,                 2.9472,             0.00029422,             0.00029422,             0.00029422
                    101,                 1.1257,                0.63751,                 1.0558,                      0,                      0,                      0,                      0,                 3.9756,                  7.375,                  2.542,             0.00028872,             0.00028872,             0.00028872
                    102,                  1.123,                0.64196,                 1.0482,                      0,                      0,                      0,                      0,                 4.0334,                 7.6457,                 2.6754,             0.00028322,             0.00028322,             0.00028322
                    103,                 1.1134,                0.62727,                 1.0542,                      0,                      0,                      0,                      0,                 2.3725,                 6.1406,                 2.1291,             0.00027772,             0.00027772,             0.00027772
                    104,                 1.1078,                0.62531,                 1.0571,                      0,                      0,                      0,                      0,                 4.3194,                 13.193,                 2.9673,             0.00027222,             0.00027222,             0.00027222
                    105,                 1.1202,                0.64756,                 1.0528,                      0,                      0,                      0,                      0,                  5.239,                 11.151,                 3.1537,             0.00026673,             0.00026673,             0.00026673
                    106,                 1.0979,                0.61685,                 1.0356,                      0,                      0,                      0,                      0,                 5.0018,                  9.235,                 3.0907,             0.00026123,             0.00026123,             0.00026123
                    107,                 1.0862,                 0.6167,                 1.0391,                      0,                      0,                      0,                      0,                 4.1088,                  11.28,                 2.9983,             0.00025573,             0.00025573,             0.00025573
                    108,                 1.0889,                0.61262,                 1.0366,                      0,                      0,                      0,                      0,                 4.0331,                 9.8288,                 2.8898,             0.00025023,             0.00025023,             0.00025023
                    109,                 1.0822,                0.60598,                 1.0297,                      0,                      0,                      0,                      0,                 4.4656,                 13.961,                 2.9557,             0.00024474,             0.00024474,             0.00024474
                    110,                 1.0487,                0.57991,                 1.0178,                      0,                      0,                      0,                      0,                 4.4387,                 9.5387,                 2.9981,             0.00023924,             0.00023924,             0.00023924
                    111,                 1.0653,                0.60822,                 1.0338,                      0,                      0,                      0,                      0,                 4.5712,                 7.6826,                  2.992,             0.00023374,             0.00023374,             0.00023374
                    112,                 1.0516,                0.58281,                 1.0153,                      0,                      0,                      0,                      0,                 5.0903,                 7.6999,                 3.0828,             0.00022824,             0.00022824,             0.00022824
                    113,                 1.0465,                0.59097,                  1.025,                      0,                      0,                      0,                      0,                 4.5702,                 7.7734,                 2.8048,             0.00022274,             0.00022274,             0.00022274
                    114,                 1.0325,                0.57589,                 1.0078,                      0,                      0,                      0,                      0,                 4.8898,                 13.305,                 3.0368,             0.00021725,             0.00021725,             0.00021725
                    115,                 1.0319,                0.59155,                 1.0182,                      0,                      0,                      0,                      0,                 4.2404,                 7.5723,                 3.0006,             0.00021175,             0.00021175,             0.00021175
                    116,                 1.0117,                0.56372,                 1.0011,                      0,                      0,                      0,                      0,                  4.818,                 8.0551,                 3.0076,             0.00020625,             0.00020625,             0.00020625
                    117,                 1.0144,                0.56421,                 1.0074,                      0,                      0,                      0,                      0,                 4.2706,                 6.8398,                 2.5231,             0.00020075,             0.00020075,             0.00020075
                    118,                 1.0247,                0.59548,                 1.0187,                      0,                      0,                      0,                      0,                  3.996,                 6.3125,                 2.5052,             0.00019526,             0.00019526,             0.00019526
                    119,                0.99908,                0.55817,                0.99808,                      0,                      0,                      0,                      0,                 4.4025,                 7.0319,                 3.1502,             0.00018976,             0.00018976,             0.00018976
                    120,                0.98991,                0.54872,                 1.0024,                      0,                      0,                      0,                      0,                 4.8264,                 7.4426,                 3.2104,             0.00018426,             0.00018426,             0.00018426
                    121,                 1.0004,                0.55666,                 1.0013,                      0,                      0,                      0,                      0,                 4.9588,                 7.4123,                 3.0987,             0.00017876,             0.00017876,             0.00017876
                    122,                0.97413,                0.54422,                 0.9997,                      0,                      0,                      0,                      0,                 4.8522,                 6.8799,                 3.1899,             0.00017326,             0.00017326,             0.00017326
                    123,                0.97177,                0.53863,                0.98833,                      0,                      0,                      0,                      0,                 4.7776,                 7.0516,                 3.1195,             0.00016777,             0.00016777,             0.00016777
                    124,                0.98309,                0.54526,                0.99176,                      0,                      0,                      0,                      0,                 4.9777,                  7.474,                 3.1657,             0.00016227,             0.00016227,             0.00016227
                    125,                0.97886,                0.55307,                0.99552,                      0,                      0,                      0,                      0,                 5.0515,                 7.6004,                 3.1144,             0.00015677,             0.00015677,             0.00015677
                    126,                0.97106,                0.54273,                0.98554,                      0,                      0,                      0,                      0,                 5.3348,                 7.5991,                 3.3022,             0.00015127,             0.00015127,             0.00015127
                    127,                0.96446,                 0.5349,                0.98132,                      0,                      0,                      0,                      0,                 5.3516,                 7.8094,                 3.1893,             0.00014577,             0.00014577,             0.00014577
                    128,                0.95009,                0.52957,                0.98104,                      0,                      0,                      0,                      0,                 5.0796,                 7.2675,                 3.1795,             0.00014028,             0.00014028,             0.00014028
                    129,                 0.9645,                0.53789,                0.98346,                      0,                      0,                      0,                      0,                 5.1765,                 7.2229,                 3.1978,             0.00013478,             0.00013478,             0.00013478
                    130,                0.92946,                0.51458,                0.96967,                      0,                      0,                      0,                      0,                 5.1241,                 7.8659,                 3.2195,             0.00012928,             0.00012928,             0.00012928
                    131,                0.94233,                0.52038,                0.97666,                      0,                      0,                      0,                      0,                 5.7953,                 7.8688,                 3.5181,             0.00012378,             0.00012378,             0.00012378
                    132,                0.92094,                0.51253,                 0.9705,                      0,                      0,                      0,                      0,                 4.5748,                 7.2536,                 3.0721,             0.00011829,             0.00011829,             0.00011829
                    133,                  0.943,                0.55203,                0.98521,                      0,                      0,                      0,                      0,                 4.7384,                 7.0788,                 3.0882,             0.00011279,             0.00011279,             0.00011279
                    134,                0.93041,                0.53172,                0.97529,                      0,                      0,                      0,                      0,                 4.9949,                 7.0021,                  3.097,             0.00010729,             0.00010729,             0.00010729
